asset,event_id,event_title,source_sheet,panel,source_kind,creator,credit,sha256
aubm_v4_continental_state,9280000,Compatibility Review: V4 Campaign State,tools/art_sources/v4_events/sheet_01_foundation.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,bcb7f72560927632f93e82f5d8cf13144cc2739dc5f23e75feeadd80673a386b
aubm_v4_union_register,9280100,The Union Register,tools/art_sources/v4_events/sheet_01_foundation.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ed84894798dc11806b417c5b48497ab6db870d9e8884745b7da991aa1e3f7fd5
aubm_v4_ceylon_council,9280101,The Ceylon Council,tools/art_sources/v4_events/sheet_01_foundation.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,097550d0a7dd2627ef86da7772a2f748827b3c575caebd00e161b4c2094d5f8a
aubm_v4_customs_union,9280102,The Customs Line Disappears,tools/art_sources/v4_events/sheet_01_foundation.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ad23f88d38b2fc130128e0cfade959ee92667a2084f73e634737d76598763f88
aubm_v4_railway_board,9280103,"One Railway Board, Four Gauges",tools/art_sources/v4_events/sheet_02_integration.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,4cadeedb03ff513897a381ad9013c8f1a31e03f71d2e2bfceaf62cce61a14fab
aubm_v4_malayan_bargain,9280104,The Malayan Question,tools/art_sources/v4_events/sheet_02_integration.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,bcaac31fcc07f2de8f912cfd2c875ef289c84fdfdc7358290dbd8c0106c0c0df
aubm_v4_bengal_jute,9280105,"Bengal, Jute and the Union Revenue",tools/art_sources/v4_events/sheet_02_integration.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,05597b1f7ecdfba95029623bead467fb005266f42091c4539e950dd6816d28fe
aubm_v4_indus_frontier_council,9280106,The Indus and Frontier Council,tools/art_sources/v4_events/sheet_02_integration.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,cd49352ea13cad9a6b8b7f57b223768bbd0f162955a422405f8922a1ae37c4df
aubm_v4_first_union_budget,9280107,The First Union Budget,tools/art_sources/v4_events/sheet_03_reviews.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,788c54c8a74aa619784cf18ee836a3ce33a2b6e479d1c75ba6462b3bd61e2097
aubm_v4_union_by_consent,9280108,1934 Integration Review: A Union by Consent,tools/art_sources/v4_events/sheet_03_reviews.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,cabfb506d274dfb96bfaf08fa9eb007c6feefd1de8aaf8c2e550cad4f13009da
aubm_v4_administrative_state,9280109,1934 Integration Review: The Administrative State,tools/art_sources/v4_events/sheet_03_reviews.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,79f6d612d182ceed341db99b42539416e72cc76de78691957faffd350618e4d0
aubm_v4_unfinished_bargain,9280110,1934 Integration Review: The Unfinished Bargain,tools/art_sources/v4_events/sheet_03_reviews.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,6c9686d37a74c3c3ce2c27eea8f30bc41d1cc6f62b58e92d5eec0713f0ae7d82
aubm_v4_provincial_oath,9280111,Provincial Forces and the Indian Oath,tools/art_sources/v4_events/sheet_04_institutions.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,3ca35885ae042ecb61005f5be32c42256555c0b66ec2407553f06bfb59b20cae
aubm_v4_telegraph_statistics,9280112,"Telegraphs, Statistics and a Common Time",tools/art_sources/v4_events/sheet_04_institutions.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,a76cde71be498920f853aa2d51fa3932fd0f8eaef4b1f7854fc7b194fe036718
aubm_v4_provincial_granaries,9280113,"Rice, Wheat and the Provincial Granaries",tools/art_sources/v4_events/sheet_04_institutions.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,665309b65cb4552ae943d008f5c21530e38b3fb02db903c35ef74209cec32351
aubm_v4_rangoon_conference,9280114,The Rangoon Implementation Conference,tools/art_sources/v4_events/sheet_04_institutions.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,0128469825053fd9e96508be181bc411a200859e80d2ff89704c8457f346a0bf
aubm_v4_fiscal_federalism,9280115,The Fiscal Federalism Act,tools/art_sources/v4_events/sheet_05_federal_development.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,47450aeea4e9cb97200d194f088cceaef95fbbc7004899396fe9350af614aa71
aubm_v4_union_takes_root,9280116,1936 State Review: The Union Takes Root,tools/art_sources/v4_events/sheet_05_federal_development.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,dbcc77674f9d953603d0f6d27c5c6ea749cf7615036c141abfe95c16a5dd086d
aubm_v4_capacity_without_settlement,9280117,1936 State Review: Capacity Without Settlement,tools/art_sources/v4_events/sheet_05_federal_development.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,34cf11f8daee9f17d1e28f413d3d2fe29ebac52dcc957429896ed37cf8be5587
aubm_v4_federal_works_compact,9280118,Authorize the Federal Works Compact,tools/art_sources/v4_events/sheet_05_federal_development.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,2fec0919039cf65ddbd27c891b48a1926169301696aea513fc17241b00c44112
aubm_v4_development_loan_due,9280119,The Development Loan Comes Due,tools/art_sources/v4_events/sheet_06_storm_and_diplomacy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,f0795ba535da29e1415d8d5a2f10bc0a2ecef39924a8bdd4f69422b308831bb0
aubm_v4_union_before_storm,9280120,The Union Before the Storm,tools/art_sources/v4_events/sheet_06_storm_and_diplomacy.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,39f07d718c5800f53f0b593a981535e9f1e55758259b07daceb810f827be1571
aubm_v4_field_service_regulations,9280150,"Field Service Regulations, 1933",tools/art_sources/v4_events/sheet_07_expertise_and_command.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a17c51cdd2bec974297372385732e9b16448da0fb5cfb93ed367c8b7b3d351f
aubm_v4_army_commands,9280151,Army Commands and Operational Reserves,tools/art_sources/v4_events/sheet_07_expertise_and_command.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,e2d81b52871799625e3d303b720d1cad994f47f575edb748335c51fb3eaa8b0f
aubm_v4_airfield_security,9280152,The Airfield Security Act,tools/art_sources/v4_events/sheet_08_air_security_and_exercises.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,1d1cb467ed98646cfdcbcdfd7ba32c0b8831b38dca08505bc04d65bc2380cfac
aubm_v4_observer_corps,9280153,Dispersal Fields and the Observer Corps,tools/art_sources/v4_events/sheet_08_air_security_and_exercises.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5107351d3bd1c30a2ed04bb43730a7df4a981ba72ad8e35b749471e580da7e31
aubm_v4_corps_exercise_1935,9280154,The 1935 Corps Exercise,tools/art_sources/v4_events/sheet_08_air_security_and_exercises.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,a025274517ec95d0bd114afdf5d59c4e5a91bbec69eaecb8c2839a8394dec96c
aubm_v4_joint_exercise_1937,9280155,The 1937 Joint Command Exercise,tools/art_sources/v4_events/sheet_08_air_security_and_exercises.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,4a7f73b60b0190204b618f16f8895dfb54967f2b8d297c0e7ac236105298cb77
aubm_v4_operational_review_1939,9280156,The 1939 Operational Review,tools/art_sources/v4_events/sheet_09_operational_survival.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,d1f032474657c28d319acacc041d544b1b414ef0e8eff772f28b1213cc8cf264
aubm_v4_damage_control_school,9280157,The Bombay Damage-Control School,tools/art_sources/v4_events/sheet_09_operational_survival.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,77f2411c519696ceb7396b2b3f70365c0d37bcf0b268ef4e5f843e429e5dee5f
