id,file,title,classification,actions,reason
9270000,00_bootstrap.txt,A Union Before Midnight,event,1,Campaign premise or mandatory transfer-of-power settlement.
9270001,00_bootstrap.txt,"One Administration, Many Nations",event,3,Campaign premise or mandatory transfer-of-power settlement.
9270002,00_bootstrap.txt,The Provisional Cabinet,event,3,Campaign premise or mandatory transfer-of-power settlement.
9270100,10_politics.txt,The Constituent Assembly,event,3,Time-bound constitutional or social settlement that the state must resolve.
9270101,10_politics.txt,"Land, Water and the Village",event,3,Time-bound constitutional or social settlement that the state must resolve.
9270102,10_politics.txt,A Language for the Union,event,3,Time-bound constitutional or social settlement that the state must resolve.
9270103,10_politics.txt,The 1936 National Mandate,event,3,Time-bound constitutional or social settlement that the state must resolve.
9270200,20_development.txt,The Emergency Reconstruction Act,decision,3,Optional national investment authorization; the player may defer it.
9270201,20_development.txt,The Union Transport Grid,decision,3,Optional national investment authorization; the player may defer it.
9270202,20_development.txt,"Steel, Coal and Machine Tools",decision,3,Optional national investment authorization; the player may defer it.
9270203,20_development.txt,Power for a Continent,decision,3,Optional national investment authorization; the player may defer it.
9270204,20_development.txt,A National System of Science,decision,3,Optional national investment authorization; the player may defer it.
9270205,20_development.txt,The Second National Plan,decision,3,Optional national investment authorization; the player may defer it.
9270206,20_development.txt,An Industrial Power,event,1,Automatic milestone reached after the player-authorized development chain.
9270300,30_military.txt,Rebuild the Indian Army,decision,3,Optional armed-forces programme authorization.
9270301,30_military.txt,An Indian Aviation Industry,decision,3,Optional armed-forces programme authorization.
9270302,30_military.txt,Command of the Indian Ocean,decision,3,Optional armed-forces programme authorization.
9270303,30_military.txt,The National Armaments Board,decision,3,Optional armed-forces programme authorization.
9270304,30_military.txt,The 1938 Force Expansion,decision,3,Optional armed-forces programme authorization.
9270305,30_military.txt,Secure the Eastern Approaches,decision,3,Optional armed-forces programme authorization.
9270306,30_military.txt,The Gurkha Settlement,decision,3,Optional armed-forces programme authorization.
9270340,34_elite_forces.txt,The Frontier Forces Charter,decision,3,Optional elite-formation authorization.
9270341,34_elite_forces.txt,The Indian Airborne Experiment,decision,3,Optional elite-formation authorization.
9270342,34_elite_forces.txt,Long-Range Penetration Groups,decision,3,Optional elite-formation authorization.
9270343,34_elite_forces.txt,The Andaman Marine Force,decision,3,Optional elite-formation authorization.
9270400,40_diplomacy.txt,India and the Coming World Crisis,event,4,Foreign reply or mandatory grand-strategy conference.
9270401,40_diplomacy.txt,Choose a European Partner,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270402,40_diplomacy.txt,The Shape of Asian Security,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270403,40_diplomacy.txt,The Delhi-Moscow Technical Compact,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270404,40_diplomacy.txt,Enter the Allied Coalition,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270405,40_diplomacy.txt,Enter the Continental Coalition,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270406,40_diplomacy.txt,Enter the Socialist Coalition,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270407,40_diplomacy.txt,Enter the Co-Prosperity Coalition,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270410,40_diplomacy.txt,The Himalayan Settlement,decision,4,"Player-initiated diplomatic, alliance, or accession initiative."
9270411,40_diplomacy.txt,India Offers Constituent Status,event,2,Foreign reply or mandatory grand-strategy conference.
9270412,40_diplomacy.txt,Bhutan Enters the Union,event,1,Foreign reply or mandatory grand-strategy conference.
9270413,40_diplomacy.txt,Bhutan Rejects Federation,event,1,Foreign reply or mandatory grand-strategy conference.
9270414,40_diplomacy.txt,India Offers Constituent Status,event,2,Foreign reply or mandatory grand-strategy conference.
9270415,40_diplomacy.txt,Nepal Enters the Union,event,1,Foreign reply or mandatory grand-strategy conference.
9270416,40_diplomacy.txt,Nepal Rejects Federation,event,1,Foreign reply or mandatory grand-strategy conference.
9270420,40_diplomacy.txt,Negotiate the Ceylon Settlement,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270421,40_diplomacy.txt,India Proposes a Ceylon Settlement,event,2,Foreign reply or mandatory grand-strategy conference.
9270422,40_diplomacy.txt,Ceylon Joins the Union,event,1,Foreign reply or mandatory grand-strategy conference.
9270423,40_diplomacy.txt,Britain Refuses the Ceylon Settlement,event,1,Foreign reply or mandatory grand-strategy conference.
9270430,40_diplomacy.txt,The Question of Goa,decision,2,"Player-initiated diplomatic, alliance, or accession initiative."
9270431,40_diplomacy.txt,India Offers to Purchase Goa,event,2,Foreign reply or mandatory grand-strategy conference.
9270432,40_diplomacy.txt,Goa Joins the Union,event,1,Foreign reply or mandatory grand-strategy conference.
9270433,40_diplomacy.txt,Portugal Refuses the Goa Settlement,event,1,Foreign reply or mandatory grand-strategy conference.
9270450,46_world_reactions.txt,India and the Abyssinian Crisis,event,3,External world event requiring an Indian response.
9270451,46_world_reactions.txt,The Spanish Civil War,event,3,External world event requiring an Indian response.
9270452,46_world_reactions.txt,War Comes to China,event,3,External world event requiring an Indian response.
9270453,46_world_reactions.txt,The Anschluss,event,3,External world event requiring an Indian response.
9270454,46_world_reactions.txt,The Munich Settlement,event,3,External world event requiring an Indian response.
9270455,46_world_reactions.txt,Empires on the March,event,3,External world event requiring an Indian response.
9270456,46_world_reactions.txt,War in Europe,event,3,External world event requiring an Indian response.
9270500,50_wartime.txt,Mobilize the Union for War,event,3,"War-triggered crisis, operational review, or consequence of an earlier authorization."
9270501,50_wartime.txt,The Emergency Factory Programme,decision,3,Optional wartime economic authorization.
9270502,50_wartime.txt,War Reaches the Eastern Frontier,event,3,"War-triggered crisis, operational review, or consequence of an earlier authorization."
9270503,50_wartime.txt,Finance the Long War,decision,3,Optional wartime economic authorization.
9270504,50_wartime.txt,A Unified Strategic Command,event,3,"War-triggered crisis, operational review, or consequence of an earlier authorization."
9270505,50_wartime.txt,The Arsenal of Armed Neutrality,decision,1,Optional wartime economic authorization.
9270600,60_postwar.txt,The Frontier Science Programme,decision,3,Optional advanced or postwar strategic programme.
9270601,60_postwar.txt,An Oceanic Fleet,decision,3,Optional advanced or postwar strategic programme.
9270602,60_postwar.txt,The Third National Plan,decision,3,Optional advanced or postwar strategic programme.
9270603,60_postwar.txt,The Great-Power Charter,event,3,"Scheduled election, postwar settlement, international crisis, or programme review."
9270604,60_postwar.txt,The Peace Dividend,event,3,"Scheduled election, postwar settlement, international crisis, or programme review."
